iter	PRAUC	Logloss
0	0.8874844545	0.6802204005
1	0.9046069257	0.6668760939
2	0.9051798275	0.6557187205
3	0.9038762664	0.6451441022
4	0.9060926524	0.634192051
5	0.9057122987	0.625089373
6	0.9088849794	0.6137370858
7	0.9116467607	0.6038290947
8	0.9122486137	0.5951272253
9	0.9121899035	0.587019213
10	0.913963157	0.5776543347
11	0.9138842415	0.5689955299
12	0.9133082447	0.5644663837
13	0.9129194273	0.5584608675
14	0.9131233709	0.551224648
15	0.9139219978	0.5436150254
16	0.9146883964	0.5368893552
17	0.9151237789	0.5294717179
18	0.9150739172	0.5234893601
19	0.9148751111	0.5181072891
20	0.9148134747	0.5133051915
21	0.9154515723	0.5066367521
22	0.9158787206	0.500423574
23	0.9155994133	0.4960849987
24	0.9158302023	0.490766883
25	0.9162561596	0.4858683911
26	0.9160620552	0.4810466132
27	0.9160154813	0.4776682025
28	0.9162526101	0.4733939927
29	0.9163037965	0.4694833561
30	0.9166592638	0.4655093893
31	0.9166951704	0.461918395
32	0.9164774528	0.4593579821
33	0.9164997053	0.4557947873
34	0.9167811925	0.4520053133
35	0.9170677985	0.4482498391
36	0.9172585797	0.4449996712
37	0.9178025949	0.4417226367
38	0.9181149384	0.4384352291
39	0.9185664028	0.4348118234
40	0.9184702635	0.4319449036
41	0.9183954762	0.4301509653
42	0.9187412507	0.4272038343
43	0.918650208	0.4250192733
44	0.9186833766	0.4225683672
45	0.9188452684	0.4197613833
46	0.9187939117	0.4176043181
47	0.919103831	0.4157841228
48	0.919158927	0.4144053589
49	0.9190422147	0.4129880536
50	0.919089966	0.4109537523
51	0.9191674232	0.4091226447
52	0.9194553562	0.4068161238
53	0.9196559525	0.4047209676
54	0.9197675326	0.4028847937
55	0.9197746738	0.4018356923
56	0.9198309376	0.4003588767
57	0.9199806618	0.3989783003
58	0.9203402704	0.3965893344
59	0.9205178479	0.39490498
60	0.9205505897	0.393621286
61	0.9206338483	0.3923383374
62	0.9208345058	0.3904858661
63	0.920789589	0.3899408222
64	0.9209509749	0.3884806604
65	0.9212966596	0.3864411749
66	0.9219930102	0.3849454212
67	0.9222598542	0.3837632217
68	0.9224323831	0.3823829542
69	0.9226628439	0.3808860146
70	0.9228303746	0.3793091015
71	0.923343177	0.3776260563
72	0.9235069535	0.3765047162
73	0.9235996823	0.3753136769
74	0.9238086702	0.3743882429
75	0.9238074285	0.3737573475
76	0.9238066482	0.3732883047
77	0.9237822878	0.3729068783
78	0.9241763776	0.3717101047
79	0.9243695197	0.3708100171
80	0.9246653568	0.3693879528
