iter	Passed	Remaining
0	160	160539
1	380	189858
2	534	177695
3	669	166697
4	919	182966
5	1072	177750
6	1321	187398
7	1536	190546
8	1823	200806
9	2199	217755
10	2417	217325
11	2599	214054
12	2678	203386
13	2774	195401
14	3036	199405
15	3240	199275
16	3519	203522
17	3733	203691
18	4015	207338
19	4155	203605
20	4299	200429
21	4487	199504
22	4676	198638
23	4771	194028
24	4943	192811
25	5114	191609
26	5289	190625
27	5397	187379
28	5566	186396
29	5735	185459
30	5897	184341
31	6055	183170
32	6135	179788
33	6304	179113
34	6470	178408
35	6633	177636
36	6807	177175
37	6998	177173
38	7179	176905
39	7375	177023
40	7563	176912
41	7664	174826
42	7864	175020
43	8014	174131
44	8235	174771
45	8450	175264
46	8632	175045
47	8823	174995
48	9030	175265
49	9157	173989
50	9350	173999
51	9543	173983
52	9759	174388
53	9947	174268
54	10097	173490
55	10233	172499
56	10532	174252
57	10721	174135
58	10948	174617
59	11146	174622
60	11345	174643
61	11594	175420
62	11801	175526
63	11884	173805
64	12070	173624
65	12267	173603
66	12483	173836
67	12665	173593
68	12843	173295
69	13038	173231
70	13215	172924
71	13395	172652
72	13563	172232
73	13740	171947
74	13923	171729
75	14092	171329
76	14208	170314
77	14354	169680
78	14539	169506
79	14741	169524
80	14911	169180
81	15090	168939
82	15261	168610
83	15537	169437
84	15694	168943
85	15879	168766
86	16044	168374
87	16210	168000
88	16390	167775
89	16571	167557
90	16747	167286
91	16920	166999
92	17119	166963
93	17312	166860
94	17514	166845
95	17707	166749
96	18011	167676
97	18251	167983
98	18384	167318
99	18610	167492
100	18856	167841
101	19077	167953
102	19296	168052
103	19501	168015
104	19704	167960
105	19963	168369
106	20147	168145
107	20330	167918
108	20519	167731
109	20659	167154
110	20955	167835
111	21122	167468
112	21307	167254
113	21497	167078
114	21676	166815
115	21769	165898
116	21949	165654
117	22130	165416
118	22313	165198
119	22501	165012
120	22677	164736
121	22853	164469
122	23023	164156
123	23205	163934
124	23378	163651
125	23577	163542
126	23785	163502
127	24000	163502
128	24202	163416
129	24667	165082
130	24906	165221
131	25178	165569
132	25308	164978
133	25548	165110
134	25762	165068
135	25969	164983
136	26162	164803
137	26356	164631
138	26576	164624
139	26770	164446
140	26943	164143
141	27112	163817
142	27302	163623
143	27443	163135
144	27529	162331
145	27728	162190
146	27925	162045
147	28109	161822
148	28296	161613
